SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
2019-20,1610612745,HOU,Houston Rockets,0021900963,2020-03-10T00:00:00,HOU vs. MIN,W,48,17,7,13,46,21,7,17,50,1,1,1,1,3,35,52,36,33,44,5,39,27
2019-20,1610612745,HOU,Houston Rockets,0021900953,2020-03-08T00:00:00,HOU vs. ORL,L,48,16,8,12,58,31,23,15,52,1,41,41,41,3,40,48,41,7,63,61,31,34
2019-20,1610612745,HOU,Houston Rockets,0021900940,2020-03-07T00:00:00,HOU @ CHA,L,48,23,12,8,40,22,3,13,40,1,41,41,41,3,10,30,56,46,48,1,23,3
2019-20,1610612745,HOU,Houston Rockets,0021900927,2020-03-05T00:00:00,HOU vs. LAC,L,48,20,17,18,52,13,19,21,46,1,41,41,41,3,23,10,16,16,13,52,51,13
2019-20,1610612745,HOU,Houston Rockets,0021900903,2020-03-02T00:00:00,HOU @ NYK,L,48,21,12,10,36,17,21,9,64,1,41,41,41,3,20,30,48,53,26,59,5,58
2019-20,1610612745,HOU,Houston Rockets,0021900892,2020-02-29T00:00:00,HOU @ BOS,W,53,14,14,16,46,15,7,16,48,1,1,1,1,2,52,18,23,33,21,5,35,21
2019-20,1610612745,HOU,Houston Rockets,0021900870,2020-02-26T00:00:00,HOU vs. MEM,W,48,25,19,23,48,26,18,16,54,1,1,1,1,3,8,8,7,26,59,47,35,41
2019-20,1610612745,HOU,Houston Rockets,0021900853,2020-02-24T00:00:00,HOU vs. NYK,W,48,22,3,26,52,11,19,15,50,1,1,1,1,3,14,63,3,16,8,52,31,27
2019-20,1610612745,HOU,Houston Rockets,0021900841,2020-02-22T00:00:00,HOU @ UTA,W,48,15,8,19,36,12,14,10,64,1,1,1,1,3,49,48,15,53,10,30,12,58
2019-20,1610612745,HOU,Houston Rockets,0021900825,2020-02-20T00:00:00,HOU @ GSW,W,48,31,10,20,36,17,12,23,60,1,1,1,1,3,1,39,10,53,26,24,54,51
2019-20,1610612745,HOU,Houston Rockets,0021900806,2020-02-11T00:00:00,HOU vs. BOS,W,48,17,9,17,38,13,11,24,46,1,1,1,1,3,35,44,21,50,13,18,56,13
2019-20,1610612745,HOU,Houston Rockets,0021900790,2020-02-09T00:00:00,HOU vs. UTA,L,48,21,2,12,54,12,16,3,48,1,41,41,41,3,20,64,41,13,10,38,1,21
