group_set,group_value,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,efg_pct,blka,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,efg_pct_rank,blka_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,cfid,cfparams,na,time
Shot Distance (5ft),Less Than 5 ft.,958,1539,0.622,0,0,0,0.622,160,0.491,0.509,0,0,0.491,0.509,1,1,1,5,6,5,1,9,1,5,5,4,4,5,171,Less Than 5 ft.,NA,B4
Shot Distance (5ft),5-9 ft.,129,346,0.373,0,0,0,0.373,44,0.326,0.674,0,0,0.326,0.674,4,4,5,5,6,5,8,8,3,3,5,4,5,4,171,5-9 ft.,NA,B4
Shot Distance (5ft),10-14 ft.,63,162,0.389,0,0,0,0.389,5,0.317,0.683,0,0,0.317,0.683,5,5,3,5,6,5,6,5,4,2,5,4,6,3,171,10-14 ft.,NA,B4
Shot Distance (5ft),15-19 ft.,63,148,0.426,0,0,0,0.426,1,0.143,0.857,0,0,0.143,0.857,5,6,2,5,6,5,5,3,5,1,5,4,7,1,171,15-19 ft.,NA,B4
Shot Distance (5ft),20-24 ft.,269,713,0.377,249,672,0.371,0.552,8,0.4,0.6,0.871,0.129,0.836,0.164,3,3,4,2,2,1,2,6,2,4,2,3,2,7,171,20-24 ft.,NA,B4
Shot Distance (5ft),25-29 ft.,449,1334,0.337,449,1334,0.337,0.505,14,0,0,0.537,0.463,0.537,0.463,2,2,6,1,1,2,3,7,6,6,3,2,3,6,171,25-29 ft.,NA,B4
Shot Distance (5ft),30-34 ft.,7,23,0.304,7,23,0.304,0.457,0,0,0,0.143,0.857,0.143,0.857,7,7,7,3,3,3,4,1,6,6,4,1,7,1,171,30-34 ft.,NA,B4
Shot Distance (5ft),35-39 ft.,0,3,0,0,3,0,0,0,0,0,0,0,0,0,9,9,9,5,5,5,9,1,6,6,5,4,9,8,171,35-39 ft.,NA,B4
Shot Distance (5ft),40+ ft.,1,4,0.25,1,4,0.25,0.375,1,0,0,1,0,1,0,8,8,8,4,4,4,7,3,6,6,1,4,1,8,171,40+ ft.,NA,B4
Shot Distance (8ft),Less Than 8 ft.,1054,1781,0.592,0,0,0,0.592,196,0.48,0.52,0,0,0.48,0.52,1,2,1,4,4,4,1,5,1,3,4,2,3,3,172,Less Than 8 ft.,NA,B4
Shot Distance (8ft),8-16 ft.,109,287,0.38,0,0,0,0.38,13,0.266,0.734,0,0,0.266,0.734,3,3,3,4,4,4,4,3,2,2,4,2,4,2,172,8-16 ft.,NA,B4
Shot Distance (8ft),16-24 ft.,71,170,0.418,1,2,0.5,0.421,2,0.2,0.8,1,0,0.211,0.789,4,4,2,2,3,1,3,2,3,1,1,2,5,1,172,16-24 ft.,NA,B4
Shot Distance (8ft),24+ ft.,704,2030,0.347,704,2030,0.347,0.52,21,0,0,0.651,0.349,0.651,0.349,2,1,4,1,1,2,2,4,4,4,3,1,2,4,172,24+ ft.,NA,B4
Shot Distance (8ft),Back Court Shot,1,4,0.25,1,4,0.25,0.375,1,0,0,1,0,1,0,5,5,5,2,2,3,5,1,4,4,1,2,1,5,172,Back Court Shot,NA,B4
Shot Area,Restricted Area,926,1462,0.633,0,0,0,0.633,147,0.498,0.502,0,0,0.498,0.502,1,2,1,5,6,5,1,7,1,1,5,4,4,1,173,Restricted Area,NA,B4
Shot Area,In The Paint (Non-RA),192,500,0.384,0,0,0,0.384,61,0.313,0.688,0,0,0.313,0.688,3,3,4,5,6,5,3,6,2,2,5,4,5,3,173,In The Paint (Non-RA),NA,B4
Shot Area,Mid-Range,116,276,0.42,1,2,0.5,0.422,3,0.243,0.757,1,0,0.25,0.75,4,4,2,4,5,1,6,3,3,3,1,4,6,4,173,Mid-Range,NA,B4
Shot Area,Left Corner 3,94,241,0.39,94,241,0.39,0.585,2,0,0,0.915,0.085,0.915,0.085,5,6,3,2,3,2,4,2,4,4,3,2,2,5,173,Left Corner 3,NA,B4
Shot Area,Right Corner 3,94,265,0.355,94,265,0.355,0.532,4,0,0,0.947,0.053,0.947,0.053,5,5,5,2,2,3,5,4,4,4,2,3,1,6,173,Right Corner 3,NA,B4
Shot Area,Above the Break 3,517,1525,0.339,517,1525,0.339,0.509,15,0,0,0.549,0.451,0.549,0.451,2,1,6,1,1,4,2,5,4,4,4,1,3,2,173,Above the Break 3,NA,B4
Shot Area,Backcourt,0,3,0,0,3,0,0,1,0,0,0,0,0,0,7,7,7,5,4,5,7,1,4,4,5,4,7,7,173,Backcourt,NA,B4
Assisted Shot,Assisted,1009,1009,1,460,460,1,1.228,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,169,Assisted,NA,B4
Assisted Shot,Unassisted,930,930,1,246,246,1,1.132,0,0,1,0,1,0,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,169,Unassisted,NA,B4
Shot Type,Alley Oop Dunk Shot,69,72,0.958,0,0,0,0.958,0,1,0,0,0,1,0,10,10,10,8,9,8,10,1,1,33,7,8,1,33,174,Alley Oop Dunk Shot,NA,B4
Shot Type,Alley Oop Layup shot,18,37,0.486,0,0,0,0.486,1,1,0,0,0,1,0,19,18,27,8,9,8,32,23,1,33,7,8,1,33,174,Alley Oop Layup shot,NA,B4
Shot Type,Cutting Dunk Shot,49,51,0.961,0,0,0,0.961,1,1,0,0,0,1,0,11,12,9,8,9,8,9,23,1,33,7,8,1,33,174,Cutting Dunk Shot,NA,B4
Shot Type,Cutting Finger Roll Layup Shot,9,9,1,0,0,0,1,0,1,0,0,0,1,0,27,33,1,8,9,8,1,1,1,33,7,8,1,33,174,Cutting Finger Roll Layup Shot,NA,B4
Shot Type,Cutting Layup Shot,84,120,0.7,0,0,0,0.7,14,1,0,0,0,1,0,6,8,16,8,9,8,16,41,1,33,7,8,1,33,174,Cutting Layup Shot,NA,B4
Shot Type,Driving Bank Hook Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,44,8,9,8,44,1,33,33,7,8,36,33,174,Driving Bank Hook Shot,NA,B4
Shot Type,Driving Dunk Shot,22,31,0.71,0,0,0,0.71,2,0.591,0.409,0,0,0.591,0.409,17,20,15,8,9,8,15,29,17,27,7,8,18,26,174,Driving Dunk Shot,NA,B4
Shot Type,Driving Finger Roll Layup Shot,76,112,0.679,0,0,0,0.679,9,0.329,0.671,0,0,0.329,0.671,7,9,17,8,9,8,17,38,24,20,7,8,26,18,174,Driving Finger Roll Layup Shot,NA,B4
Shot Type,Driving Floating Bank Jump Shot,18,32,0.563,0,0,0,0.563,0,0.333,0.667,0,0,0.333,0.667,19,19,23,8,9,8,26,1,23,21,7,8,25,19,174,Driving Floating Bank Jump Shot,NA,B4
Shot Type,Driving Floating Jump Shot,94,204,0.461,0,0,0,0.461,13,0.138,0.862,0,0,0.138,0.862,5,5,31,8,9,8,35,40,31,13,7,8,34,10,174,Driving Floating Jump Shot,NA,B4
Shot Type,Driving Hook Shot,2,3,0.667,0,0,0,0.667,0,0.5,0.5,0,0,0.5,0.5,38,37,18,8,9,8,18,1,18,24,7,8,19,23,174,Driving Hook Shot,NA,B4
Shot Type,Driving Layup Shot,243,476,0.511,0,0,0,0.511,75,0.222,0.778,0,0,0.222,0.778,2,2,24,8,9,8,28,44,29,15,7,8,30,13,174,Driving Layup Shot,NA,B4
Shot Type,Driving Reverse Layup Shot,13,29,0.448,0,0,0,0.448,4,0.308,0.692,0,0,0.308,0.692,23,21,33,8,9,8,36,33,25,19,7,8,27,17,174,Driving Reverse Layup Shot,NA,B4
Shot Type,Dunk Shot,35,40,0.875,0,0,0,0.875,2,0.914,0.086,0,0,0.914,0.086,12,17,11,8,9,8,11,29,12,32,7,8,12,32,174,Dunk Shot,NA,B4
Shot Type,Fadeaway Jump Shot,18,44,0.409,1,1,1,0.42,1,0.235,0.765,0,1,0.222,0.778,19,16,38,7,7,1,39,23,28,16,7,1,30,13,174,Fadeaway Jump Shot,NA,B4
Shot Type,Finger Roll Layup Shot,4,6,0.667,0,0,0,0.667,0,0.5,0.5,0,0,0.5,0.5,32,34,18,8,9,8,18,1,18,24,7,8,19,23,174,Finger Roll Layup Shot,NA,B4
Shot Type,Floating Jump shot,25,51,0.49,0,0,0,0.49,0,0.4,0.6,0,0,0.4,0.6,15,12,26,8,9,8,31,1,22,22,7,8,23,20,174,Floating Jump shot,NA,B4
Shot Type,Hook Bank Shot,1,1,1,0,0,0,1,0,1,0,0,0,1,0,40,40,1,8,9,8,1,1,1,33,7,8,1,33,174,Hook Bank Shot,NA,B4
Shot Type,Hook Shot,22,50,0.44,0,0,0,0.44,5,0.818,0.182,0,0,0.818,0.182,17,14,35,8,9,8,38,36,13,31,7,8,14,30,174,Hook Shot,NA,B4
Shot Type,Jump Bank Shot,7,14,0.5,2,4,0.5,0.571,0,0,1,0.5,0.5,0.143,0.857,29,28,25,6,6,2,25,1,33,1,4,4,33,11,174,Jump Bank Shot,NA,B4
Shot Type,Jump Shot,512,1530,0.335,487,1458,0.334,0.494,26,0.6,0.4,0.871,0.129,0.857,0.143,1,1,41,1,1,7,29,42,15,29,1,7,13,31,174,Jump Shot,NA,B4
Shot Type,Layup Shot,72,173,0.416,0,0,0,0.416,47,0.597,0.403,0,0,0.597,0.403,9,6,37,8,9,8,41,43,16,28,7,8,17,27,174,Layup Shot,NA,B4
Shot Type,Pullup Jump shot,134,331,0.405,58,159,0.365,0.492,2,0.158,0.842,0.241,0.759,0.194,0.806,4,4,39,3,3,6,30,29,30,14,5,3,32,12,174,Pullup Jump shot,NA,B4
Shot Type,Putback Dunk Shot,4,4,1,0,0,0,1,0,0,1,0,0,0,1,32,35,1,8,9,8,1,1,33,1,7,8,36,1,174,Putback Dunk Shot,NA,B4
