gp,g,shot_type,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct,split
40,30,Catch and Shoot,0.097,0.55,2.15,0.256,0.36,0.005,0.1,0.1,1,0.093,0.45,2.05,0.22,Small Ball
40,40,Pull Ups,0.373,3.13,8.25,0.379,0.411,0.282,2.6,6.25,0.416,0.09,0.53,2,0.263,Small Ball
40,40,Less than 10 ft,0.512,6.35,11.33,0.561,0.561,0.512,6.35,11.33,0.561,0,0,0,NA,Small Ball
40,12,Other,0.018,0.05,0.4,0.125,0.156,0.009,0.03,0.2,0.125,0.009,0.03,0.2,0.125,Small Ball
40,15,24-22,0.018,0.15,0.4,0.375,0.375,0.018,0.15,0.4,0.375,0,0,0,NA,Small Ball
40,40,22-18 Very Early,0.268,3.1,5.93,0.523,0.54,0.229,2.9,5.08,0.571,0.038,0.2,0.85,0.235,Small Ball
40,39,18-15 Early,0.22,2.38,4.88,0.487,0.51,0.183,2.15,4.05,0.531,0.037,0.23,0.83,0.273,Small Ball
40,40,15-7 Average,0.384,3.53,8.5,0.415,0.443,0.299,3.05,6.63,0.46,0.085,0.48,1.88,0.253,Small Ball
40,29,7-4 Late,0.066,0.58,1.45,0.397,0.414,0.052,0.53,1.15,0.457,0.014,0.05,0.3,0.167,Small Ball
40,29,4-0 Very Late,0.044,0.35,0.98,0.359,0.385,0.026,0.3,0.58,0.522,0.018,0.05,0.4,0.125,Small Ball
40,38,0 Dribbles,0.18,1.33,3.98,0.333,0.393,0.078,0.85,1.73,0.493,0.102,0.48,2.25,0.211,Small Ball
40,32,1 Dribble,0.08,1,1.78,0.563,0.585,0.066,0.93,1.45,0.638,0.015,0.08,0.33,0.231,Small Ball
40,34,2 Dribbles,0.084,0.93,1.85,0.5,0.52,0.073,0.85,1.63,0.523,0.01,0.08,0.23,0.333,Small Ball
40,40,3-6 Dribbles,0.371,4.15,8.2,0.506,0.523,0.325,3.88,7.2,0.538,0.045,0.28,1,0.275,Small Ball
40,39,7+ Dribbles,0.286,2.68,6.33,0.423,0.431,0.266,2.58,5.88,0.438,0.02,0.1,0.45,0.222,Small Ball
40,36,0-2 Feet - Very Tight,0.094,1.03,2.08,0.494,0.494,0.094,1.03,2.08,0.494,0,0,0,NA,Small Ball
40,40,2-4 Feet - Tight,0.449,4.93,9.93,0.496,0.5,0.432,4.85,9.55,0.508,0.017,0.08,0.38,0.2,Small Ball
40,40,4-6 Feet - Open,0.313,2.85,6.93,0.412,0.431,0.236,2.58,5.23,0.493,0.077,0.28,1.7,0.162,Small Ball
40,36,6+ Feet - Wide Open,0.145,1.28,3.2,0.398,0.5,0.046,0.63,1.03,0.61,0.098,0.65,2.18,0.299,Small Ball
40,4,0-2 Feet - Very Tight,0.005,0.03,0.1,0.25,0.25,0.005,0.03,0.1,0.25,0,0,0,NA,Small Ball
40,33,2-4 Feet - Tight,0.099,0.8,2.2,0.364,0.381,0.082,0.73,1.83,0.397,0.017,0.08,0.38,0.2,Small Ball
40,40,4-6 Feet - Open,0.261,1.98,5.78,0.342,0.366,0.184,1.7,4.08,0.417,0.077,0.28,1.7,0.162,Small Ball
40,32,6+ Feet - Wide Open,0.123,0.93,2.73,0.339,0.459,0.025,0.28,0.55,0.5,0.098,0.65,2.18,0.299,Small Ball
40,40,Touch < 2 Seconds,0.225,2.1,4.98,0.422,0.475,0.119,1.58,2.63,0.6,0.106,0.53,2.35,0.223,Small Ball
40,40,Touch 2-6 Seconds,0.454,4.93,10.05,0.49,0.509,0.395,4.55,8.75,0.52,0.059,0.38,1.3,0.288,Small Ball
